,Comapny_Name,Role,City/Zip,Datetime_Posted
347,PDA Search and Selection,Mobile Cleaner - Essex / East London,London,9 days ago
349,Tiger Recruitment Ltd,newHousekeeper (25 hours pw),London,8 days ago
350,Multi Clean Services Ltd,Experienced cleaner,London,24 days ago
351,APJ SERVICES (LONDON) LTD,newCleaning operative,London,1 day ago
356,Claibon,newHead Porter / Concierge,London SW3,1 day ago
358,Brook Street,Factory Cleaner,London,13 days ago
359,KT&T Limited,Room Attendant,London,24 days ago
360,Page Personnel - UK,CSCS Cleaner,London,13 days ago
361,ecosense cleaning,Night Cleaner required Immediate Start - Manor House (Matern...,Manor House Station,14 days ago
362,Exclusive Household Staff,Part-time Housekeeper,London,12 days ago
363,APJ SERVICES (LONDON) LTD,newBus Cleaning Operative,East London+1 location,1 day ago
365,Total Care Facilites Ltd,newCleaning Supervisor,London,1 day ago
366,Nine Hotel Group,HouseKeeping Manager,London,8 days ago
367,Nandos,newKitchen porter,London WC2N 4HG,2 days ago
368,TB Cleans Ltd,Cleaner,London,22 days ago
370,Bouygues Energies & Services Solutions,Housekeeping Assistant - Weekends 07:00 to 18:00,Southwark,12 days ago
371,Eden Private Staff,newPart time Nanny Housekeeper,London+1 location,Today
372,Accor HQ,"newEvent/ Banqueting Porter, The Savoy",London,Today
374,Progressis,RUSSIAN SPEAKING HOUSEKEEPER - Highgate,London,24 days ago
375,The Rubens at the Palace Hotel,newHousekeeping Floor Supervisor,London,1 day ago
379,Malmaison & Frasers,"Head Housekeeper, Hotel Du Vin",London,15 days ago
382,Sadler’s Wells,newCleaning and Housekeeping Team Leader,Islington,6 days ago
383,Eden Private Staff,Part-time Housekeeper Nanny,Wapping,23 days ago
384,InterContinental Hotels,newHousekeeper,London,1 day ago
387,Exclusive Household Staff,newLive-out Housekeeper/Nanny,London,5 days ago
388,Morgan Hunt,Fleet Manager / Porter,London,16 days ago
